date,ticker,close
2025-01-02,UCG IM Equity,42.398952
2025-01-03,UCG IM Equity,42.91534
2025-01-06,UCG IM Equity,42.100556
2025-01-07,UCG IM Equity,41.737841
2025-01-08,UCG IM Equity,41.697746
2025-01-09,UCG IM Equity,42.043089
2025-01-10,UCG IM Equity,41.61937
2025-01-13,UCG IM Equity,41.199035
2025-01-14,UCG IM Equity,41.684584
2025-01-15,UCG IM Equity,42.268245
2025-01-16,UCG IM Equity,42.60877
2025-01-17,UCG IM Equity,42.231479
2025-01-20,UCG IM Equity,42.599031
2025-01-21,UCG IM Equity,42.558811
2025-01-22,UCG IM Equity,43.082482
2025-01-23,UCG IM Equity,42.44986
2025-01-24,UCG IM Equity,42.283485
2025-01-27,UCG IM Equity,41.978888
2025-01-28,UCG IM Equity,40.930782
2025-01-29,UCG IM Equity,40.822955
2025-01-30,UCG IM Equity,40.506138
2025-01-31,UCG IM Equity,40.169027
2025-02-03,UCG IM Equity,40.168295
2025-02-04,UCG IM Equity,39.358519
2025-02-05,UCG IM Equity,39.410866
2025-02-06,UCG IM Equity,39.65539
2025-02-07,UCG IM Equity,39.369609
2025-02-10,UCG IM Equity,39.990488
2025-02-11,UCG IM Equity,39.239897
2025-02-12,UCG IM Equity,38.359929
2025-02-13,UCG IM Equity,38.157384
2025-02-14,UCG IM Equity,38.407374
2025-02-17,UCG IM Equity,39.531821
2025-02-18,UCG IM Equity,39.799313
2025-02-19,UCG IM Equity,39.501736
2025-02-20,UCG IM Equity,39.849197
2025-02-21,UCG IM Equity,39.348762
2025-02-24,UCG IM Equity,38.622894
2025-02-25,UCG IM Equity,40.073279
2025-02-26,UCG IM Equity,40.259123
2025-02-27,UCG IM Equity,40.791888
2025-02-28,UCG IM Equity,41.185213
2025-03-03,UCG IM Equity,42.098388
2025-03-04,UCG IM Equity,42.274726
2025-03-05,UCG IM Equity,43.312946
2025-03-06,UCG IM Equity,42.415889
2025-03-07,UCG IM Equity,41.722099
2025-03-10,UCG IM Equity,42.669115
2025-03-11,UCG IM Equity,43.496346
2025-03-12,UCG IM Equity,44.197053
2025-03-13,UCG IM Equity,44.509071
2025-03-14,UCG IM Equity,44.421862
2025-03-17,UCG IM Equity,43.962082
2025-03-18,UCG IM Equity,45.117907
2025-03-19,UCG IM Equity,45.527363
2025-03-20,UCG IM Equity,46.036031
2025-03-21,UCG IM Equity,46.212317
2025-03-24,UCG IM Equity,47.094228
2025-03-25,UCG IM Equity,47.737274
2025-03-26,UCG IM Equity,48.182519
2025-03-27,UCG IM Equity,47.34555
2025-03-28,UCG IM Equity,47.647626
2025-03-31,UCG IM Equity,49.375245
2025-04-01,UCG IM Equity,48.70854
2025-04-02,UCG IM Equity,48.457761
2025-04-03,UCG IM Equity,49.091232
2025-04-04,UCG IM Equity,50.025533
2025-04-07,UCG IM Equity,50.724019
2025-04-08,UCG IM Equity,49.220128
2025-04-09,UCG IM Equity,49.528713
2025-04-10,UCG IM Equity,48.784741
2025-04-11,UCG IM Equity,47.729621
2025-04-14,UCG IM Equity,47.977827
2025-04-15,UCG IM Equity,47.763877
2025-04-16,UCG IM Equity,48.579213
2025-04-17,UCG IM Equity,51.069364
2025-04-18,UCG IM Equity,51.676115
2025-04-21,UCG IM Equity,52.113757
2025-04-22,UCG IM Equity,51.416281
2025-04-23,UCG IM Equity,51.368816
2025-04-24,UCG IM Equity,50.465588
2025-04-25,UCG IM Equity,50.024796
2025-04-28,UCG IM Equity,49.392699
2025-04-29,UCG IM Equity,48.868669
2025-04-30,UCG IM Equity,48.644661
2025-05-01,UCG IM Equity,47.600182
2025-05-02,UCG IM Equity,46.590278
2025-05-05,UCG IM Equity,45.621126
2025-05-06,UCG IM Equity,46.240299
2025-05-07,UCG IM Equity,46.38178
2025-05-08,UCG IM Equity,47.068274
2025-05-09,UCG IM Equity,47.950318
2025-05-12,UCG IM Equity,47.64894
2025-05-13,UCG IM Equity,48.368036
2025-05-14,UCG IM Equity,47.336602
2025-05-15,UCG IM Equity,49.163287
2025-05-16,UCG IM Equity,49.756389
2025-05-19,UCG IM Equity,49.678367
2025-05-20,UCG IM Equity,48.444209
2025-05-21,UCG IM Equity,48.26897
2025-05-22,UCG IM Equity,46.881767
2025-05-23,UCG IM Equity,46.236167
2025-05-26,UCG IM Equity,46.83721
2025-05-27,UCG IM Equity,47.391114
2025-05-28,UCG IM Equity,46.778602
2025-05-29,UCG IM Equity,47.348494
2025-05-30,UCG IM Equity,46.559564
2025-06-02,UCG IM Equity,46.803581
2025-06-03,UCG IM Equity,46.461794
2025-06-04,UCG IM Equity,45.864506
2025-06-05,UCG IM Equity,46.338198
2025-06-06,UCG IM Equity,45.676065
2025-06-09,UCG IM Equity,46.778402
2025-06-10,UCG IM Equity,46.319705
2025-06-11,UCG IM Equity,47.789132
2025-06-12,UCG IM Equity,46.89211
2025-06-13,UCG IM Equity,47.40055
2025-06-16,UCG IM Equity,46.326387
2025-06-17,UCG IM Equity,45.545277
2025-06-18,UCG IM Equity,45.700179
2025-06-19,UCG IM Equity,46.189779
2025-06-20,UCG IM Equity,45.129572
2025-06-23,UCG IM Equity,45.93586
2025-06-24,UCG IM Equity,44.913753
2025-06-25,UCG IM Equity,44.827598
2025-06-26,UCG IM Equity,45.221013
2025-06-27,UCG IM Equity,45.242187
2025-06-30,UCG IM Equity,44.179176
2025-07-01,UCG IM Equity,44.945179
2025-07-02,UCG IM Equity,45.489675
2025-07-03,UCG IM Equity,45.006518
2025-07-04,UCG IM Equity,44.461446
2025-07-07,UCG IM Equity,43.302504
2025-07-08,UCG IM Equity,42.054254
2025-07-09,UCG IM Equity,42.692853
2025-07-10,UCG IM Equity,42.754062
2025-07-11,UCG IM Equity,42.027643
2025-07-14,UCG IM Equity,41.690072
2025-07-15,UCG IM Equity,42.58738
2025-07-16,UCG IM Equity,42.152506
2025-07-17,UCG IM Equity,42.006793
2025-07-18,UCG IM Equity,42.794046
2025-07-21,UCG IM Equity,43.073544
2025-07-22,UCG IM Equity,42.997702
2025-07-23,UCG IM Equity,42.494074
2025-07-24,UCG IM Equity,41.209256
2025-07-25,UCG IM Equity,40.683891
2025-07-28,UCG IM Equity,40.39953
2025-07-29,UCG IM Equity,40.471444
2025-07-30,UCG IM Equity,40.615768
2025-07-31,UCG IM Equity,40.891029
2025-08-01,UCG IM Equity,40.999634
2025-08-04,UCG IM Equity,41.095503
2025-08-05,UCG IM Equity,40.461093
2025-08-06,UCG IM Equity,39.081999
2025-08-07,UCG IM Equity,38.67798
2025-08-08,UCG IM Equity,37.987026
2025-08-11,UCG IM Equity,37.469434
2025-08-12,UCG IM Equity,37.670438
2025-08-13,UCG IM Equity,36.829281
2025-08-14,UCG IM Equity,36.047352
2025-08-15,UCG IM Equity,35.988618
2025-08-18,UCG IM Equity,36.278043
2025-08-19,UCG IM Equity,35.719305
2025-08-20,UCG IM Equity,35.912298
2025-08-21,UCG IM Equity,35.734027
2025-08-22,UCG IM Equity,34.915393
2025-08-25,UCG IM Equity,35.021546
2025-08-26,UCG IM Equity,36.019471
2025-08-27,UCG IM Equity,35.650761
2025-08-28,UCG IM Equity,36.164776
2025-08-29,UCG IM Equity,36.991678
2025-09-01,UCG IM Equity,37.720481
2025-09-02,UCG IM Equity,37.219813
2025-09-03,UCG IM Equity,38.143583
2025-09-04,UCG IM Equity,37.948298
2025-09-05,UCG IM Equity,38.040291
2025-09-08,UCG IM Equity,37.859394
2025-09-09,UCG IM Equity,38.200887
2025-09-10,UCG IM Equity,38.22986
2025-09-11,UCG IM Equity,38.027637
2025-09-12,UCG IM Equity,38.64995
2025-09-15,UCG IM Equity,38.380088
2025-09-16,UCG IM Equity,37.707413
2025-09-17,UCG IM Equity,38.204808
2025-09-18,UCG IM Equity,38.592229
2025-09-19,UCG IM Equity,39.475878
2025-09-22,UCG IM Equity,38.956221
2025-09-23,UCG IM Equity,39.645227
2025-09-24,UCG IM Equity,39.863096
2025-09-25,UCG IM Equity,40.682435
2025-09-26,UCG IM Equity,40.125568
2025-09-29,UCG IM Equity,40.443188
2025-09-30,UCG IM Equity,40.20485
2025-10-01,UCG IM Equity,39.344701
2025-10-02,UCG IM Equity,39.068285
2025-10-03,UCG IM Equity,39.943591
2025-10-06,UCG IM Equity,39.796162
2025-10-07,UCG IM Equity,39.281923
2025-10-08,UCG IM Equity,40.015459
2025-10-09,UCG IM Equity,40.42103
2025-10-10,UCG IM Equity,41.153694
2025-10-13,UCG IM Equity,40.681984
2025-10-14,UCG IM Equity,40.814085
2025-10-15,UCG IM Equity,41.877136
2025-10-16,UCG IM Equity,41.685098
2025-10-17,UCG IM Equity,40.95194
2025-10-20,UCG IM Equity,41.119569
2025-10-21,UCG IM Equity,42.221786
2025-10-22,UCG IM Equity,41.316376
2025-10-23,UCG IM Equity,39.685281
2025-10-24,UCG IM Equity,38.946412
2025-10-27,UCG IM Equity,38.089328
2025-10-28,UCG IM Equity,37.613731
2025-10-29,UCG IM Equity,38.036059
2025-10-30,UCG IM Equity,37.924551
2025-10-31,UCG IM Equity,37.43619
2025-11-03,UCG IM Equity,37.460971
2025-11-04,UCG IM Equity,36.849073
2025-11-05,UCG IM Equity,36.557369
2025-11-06,UCG IM Equity,36.188997
2025-11-07,UCG IM Equity,37.528028
2025-11-10,UCG IM Equity,37.719765
2025-11-11,UCG IM Equity,37.33854
2025-11-12,UCG IM Equity,36.84731
2025-11-13,UCG IM Equity,36.635604
2025-11-14,UCG IM Equity,35.512334
2025-11-17,UCG IM Equity,34.979573
2025-11-18,UCG IM Equity,34.384303
2025-11-19,UCG IM Equity,34.738984
2025-11-20,UCG IM Equity,34.581017
2025-11-21,UCG IM Equity,34.013292
2025-11-24,UCG IM Equity,33.336763
2025-11-25,UCG IM Equity,32.78933
2025-11-26,UCG IM Equity,33.119681
2025-11-27,UCG IM Equity,32.703564
2025-11-28,UCG IM Equity,33.43313
2025-12-01,UCG IM Equity,33.067188
2025-12-02,UCG IM Equity,33.643962
2025-12-03,UCG IM Equity,33.514708
2025-12-04,UCG IM Equity,33.435037
2025-12-05,UCG IM Equity,32.493296
2025-12-08,UCG IM Equity,31.82082
2025-12-09,UCG IM Equity,32.246106
2025-12-10,UCG IM Equity,32.92774
2025-12-11,UCG IM Equity,33.198706
2025-12-12,UCG IM Equity,33.555336
2025-12-15,UCG IM Equity,32.946244
2025-12-16,UCG IM Equity,32.646262
2025-12-17,UCG IM Equity,32.028263
2025-12-18,UCG IM Equity,32.020961
2025-12-19,UCG IM Equity,32.110215
2025-12-22,UCG IM Equity,32.16005
2025-12-23,UCG IM Equity,32.008916
2025-12-24,UCG IM Equity,32.108635
2025-12-25,UCG IM Equity,32.175308
2025-12-26,UCG IM Equity,32.006801
2025-12-29,UCG IM Equity,32.876195
2025-12-30,UCG IM Equity,32.98935
2025-12-31,UCG IM Equity,32.988526
